trade_id,source,venue,symbol,timeframe,timestamp_entry,timestamp_exit,direction,setup_type,primary_setup,tier,grade,entry_price,sl_price,tp_price,sl_distance_usd,rr_target,position_size_btc,position_size_usd,nano_qty,max_risk_usd,atr,atr_avg50,atr_ok_long,ema_fast,ema_slow,wpr_fast,wpr_slow,vol_ratio,chand_long,chand_short,hi50,lo50,sig_rsi,sig_dist_ema200,sig_dist_ema50,sig_body_ratio,d_rsi,w_rsi,daily_trend,weekly_trend,ema_gap_daily,ema_gap_weekly,tp_near_res,entry_gate_passed,entry_block_reason,exit_price,exit_reason,bars_held,pnl_usd,pnl_pct,r_multiple,fees_usd,pnl_net_usd,venue_adapter,atr_scale_applied,notes
si+-20170830110000-0000,backtest_scheme_i_plus_c3c5,binance,BTCUSDT,1h,2017-08-30T11:00:00Z,,long,T3a_H1_fail_brkdn_long,T3a_H1_fail_brkdn_long,3,,4537.0,4482.56,4650.42,54.4399999999996,2.0833945628214714,,,,250.0,68.04,,,,,,,1.35,,,,,25.69,4.16,0.75,0.402,,,,,,,,,,4482.56,sl_hit,0,-270.83,-0.013,-1.0833333333333333,5.0,,binance,1.0,backfilled from scheme_i_plus_trades.csv; scheme_i weights T1=1.0 T2=0.75 T3=0.5 T4=0 dropped; 5%/R risk; FEE=0.001; sig_rsi=25.69 sig_dist_ema200=4.16 d_rsi= w_rsi=; equity_after=9729.166666666666 dd_pct=0.0
si+-20171001140000-0001,backtest_scheme_i_plus_c3c5,binance,BTCUSDT,1h,2017-10-01T14:00:00Z,,long,T3a_H1_fail_brkdn_long,T3a_H1_fail_brkdn_long,3,,4305.01,4253.35,4412.64,51.659999999999854,2.083430120015494,,,,243.23,50.62,,,,,,,1.053,,,,,43.54,5.47,0.75,0.296,67.76,,bull,,0.0356,,,,,4412.64,tp_hit,9,486.46,0.024,2.0,4.86,,binance,1.0,backfilled from scheme_i_plus_trades.csv; scheme_i weights T1=1.0 T2=0.75 T3=0.5 T4=0 dropped; 5%/R risk; FEE=0.001; sig_rsi=43.54 sig_dist_ema200=5.47 d_rsi=67.76 w_rsi=; equity_after=10215.625 dd_pct=0.0
si+-20171104020000-0002,backtest_scheme_i_plus_c3c5,binance,BTCUSDT,1h,2017-11-04T02:00:00Z,,long,T3a_H1_fail_brkdn_long,T3a_H1_fail_brkdn_long,3,,7101.31,7016.09,7278.84,85.22000000000025,2.083196432762253,,,,255.39,111.22,,,,,,,0.878,,,,,37.4,9.83,1.02,0.629,73.69,,bull,,0.586,,,,,7278.84,tp_hit,10,510.78,0.024,2.0,5.11,,binance,1.0,backfilled from scheme_i_plus_trades.csv; scheme_i weights T1=1.0 T2=0.75 T3=0.5 T4=0 dropped; 5%/R risk; FEE=0.001; sig_rsi=37.4 sig_dist_ema200=9.83 d_rsi=73.69 w_rsi=; equity_after=10726.40625 dd_pct=0.0
si+-20171118030000-0003,backtest_scheme_i_plus_c3c5,binance,BTCUSDT,1h,2017-11-18T03:00:00Z,,long,T3a_H1_fail_brkdn_long,T3a_H1_fail_brkdn_long,3,,7588.59,7497.53,7778.3,91.0600000000004,2.0833516362837603,,,,268.16,159.92,,,,,,,0.951,,,,,41.83,7.3,0.2,0.592,54.49,,bull,,0.5689,,,,,7778.3,tp_hit,17,536.32,0.024,2.0,5.36,,binance,1.0,backfilled from scheme_i_plus_trades.csv; scheme_i weights T1=1.0 T2=0.75 T3=0.5 T4=0 dropped; 5%/R risk; FEE=0.001; sig_rsi=41.83 sig_dist_ema200=7.3 d_rsi=54.49 w_rsi=; equity_after=11262.7265625 dd_pct=0.0
si+-20171217190000-0004,backtest_scheme_i_plus_c3c5,binance,BTCUSDT,1h,2017-12-17T19:00:00Z,,long,T3a_H1_fail_brkdn_long,T3a_H1_fail_brkdn_long,3,,18845.91,18619.76,19317.06,226.15000000000146,2.083351757682947,,,,281.57,346.2,,,,,,,1.047,,,,,44.19,12.83,1.43,0.278,79.2,,bull,,1.7391999999999999,,,,,19317.06,tp_hit,2,563.14,0.024,2.0,5.63,,binance,1.0,backfilled from scheme_i_plus_trades.csv; scheme_i weights T1=1.0 T2=0.75 T3=0.5 T4=0 dropped; 5%/R risk; FEE=0.001; sig_rsi=44.19 sig_dist_ema200=12.83 d_rsi=79.2 w_rsi=; equity_after=11825.862890625 dd_pct=0.0
si+-20180107140000-0005,backtest_scheme_i_plus_c3c5,binance,BTCUSDT,1h,2018-01-07T14:00:00Z,,long,T3a_H1_fail_brkdn_long,T3a_H1_fail_brkdn_long,3,,16520.02,16321.78,16933.02,198.23999999999978,2.0833333333333357,,,,295.65,238.31,,,,,,,0.458,,,,,34.21,8.23,0.65,0.623,60.99,73.03,bull,bull,0.9157,2.3018,,,,16321.78,sl_hit,1,-320.28,-0.013,-1.0833333333333333,5.91,,binance,1.0,backfilled from scheme_i_plus_trades.csv; scheme_i weights T1=1.0 T2=0.75 T3=0.5 T4=0 dropped; 5%/R risk; FEE=0.001; sig_rsi=34.21 sig_dist_ema200=8.23 d_rsi=60.99 w_rsi=73.03; equity_after=11505.579104003908 dd_pct=-2.708333333333335
si+-20180202000000-0006,backtest_scheme_i_plus_c3c5,binance,BTCUSDT,1d,2018-02-02T00:00:00Z,,long,T2a_D_hammer_long,T2a_D_hammer_long,2,,8873.03,8429.38,9937.79,443.65000000000146,2.399999999999993,,,,431.46,1266.06,,,,,,,1.516,,,,,33.96,-3.57,-27.04,0.283,39.5,53.11,bull,bull,0.0022,0.5922,,,,8429.38,sl_hit,0,-440.09,-0.051,-1.0199999999999998,8.63,,binance,1.0,backfilled from scheme_i_plus_trades.csv; scheme_i weights T1=1.0 T2=0.75 T3=0.5 T4=0 dropped; 5%/R risk; FEE=0.001; sig_rsi=33.96 sig_dist_ema200=-3.57 d_rsi=39.5 w_rsi=53.11; equity_after=11065.490703275758 dd_pct=-6.429739583333339
si+-20180209120000-0007,backtest_scheme_i_plus_c3c5,binance,BTCUSDT,4h,2018-02-09T12:00:00Z,,short,T3b_H4_sweep_hi_short_loose,T3b_H4_sweep_hi_short_loose,3,,8333.98,8458.99,8083.96,125.01000000000022,1.9999999999999927,,,,276.64,623.63,,,,,,,0.527,,,,,71.72,-22.96,-1.98,0.136,35.56,51.15,bear,bull,-0.0478,0.5599000000000001,,,,8458.99,sl_hit,0,-295.08,-0.016,-1.0666666666666669,5.53,,binance,1.0,backfilled from scheme_i_plus_trades.csv; scheme_i weights T1=1.0 T2=0.75 T3=0.5 T4=0 dropped; 5%/R risk; FEE=0.001; sig_rsi=71.72 sig_dist_ema200=-22.96 d_rsi=35.56 w_rsi=51.15; equity_after=10770.410951188403 dd_pct=-8.924946527777777
si+-20180214160000-0008,backtest_scheme_i_plus_c3c5,binance,BTCUSDT,4h,2018-02-14T16:00:00Z,,short,T3b_H4_sweep_hi_short_loose,T3b_H4_sweep_hi_short_loose,3,,9232.04,9370.52,8955.08,138.47999999999956,2.0000000000000133,,,,269.26,247.07,,,,,,,1.086,,,,,67.03,-9.67,7.32,0.391,45.13,57.11,bull,bull,0.0385,0.9886,,,,9370.52,sl_hit,0,-287.21,-0.016,-1.0666666666666669,5.39,,binance,1.0,backfilled from scheme_i_plus_trades.csv; scheme_i weights T1=1.0 T2=0.75 T3=0.5 T4=0 dropped; 5%/R risk; FEE=0.001; sig_rsi=67.03 sig_dist_ema200=-9.67 d_rsi=45.13 w_rsi=57.11; equity_after=10483.199992490048 dd_pct=-11.353614620370356
si+-20180218100000-0009,backtest_scheme_i_plus_c3c5,binance,BTCUSDT,1h,2018-02-18T10:00:00Z,,long,T3a_H1_fail_brkdn_long,T3a_H1_fail_brkdn_long,3,,10472.97,10347.29,10734.79,125.67999999999847,2.0832272437937993,,,,262.08,274.7,,,,,,,1.662,,,,,44.76,9.28,0.16,0.978,63.62,57.11,bull,bull,0.13470000000000001,0.9886,,,,10734.79,tp_hit,2,524.16,0.024,2.0,5.24,,binance,1.0,backfilled from scheme_i_plus_trades.csv; scheme_i weights T1=1.0 T2=0.75 T3=0.5 T4=0 dropped; 5%/R risk; FEE=0.001; sig_rsi=44.76 sig_dist_ema200=9.28 d_rsi=63.62 w_rsi=57.11; equity_after=11007.359992114552 dd_pct=-6.921295351388867
si+-20180302150000-0010,backtest_scheme_i_plus_c3c5,binance,BTCUSDT,1h,2018-03-02T15:00:00Z,,long,T3a_H1_fail_brkdn_long,T3a_H1_fail_brkdn_long,3,,10855.0,10724.74,11126.37,130.26000000000022,2.0832949485644123,,,,275.18,144.54,,,,,,,0.601,,,,,36.8,4.05,0.53,0.916,56.72,53.78,bull,bull,0.1875,1.1616,,,,11126.37,tp_hit,6,550.37,0.024,2.0,5.5,,binance,1.0,backfilled from scheme_i_plus_trades.csv; scheme_i weights T1=1.0 T2=0.75 T3=0.5 T4=0 dropped; 5%/R risk; FEE=0.001; sig_rsi=36.8 sig_dist_ema200=4.05 d_rsi=56.72 w_rsi=53.78; equity_after=11557.72799172028 dd_pct=-2.267360118958317
